epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,3102.83,0.89253,0.88652,0.90054,0.92173,0.94358,0.96714,0.75601,0.83289,0.81348,0.89672,0.000378437,0.000378437,0.000378437
20,3248.99,0.88469,0.87211,0.89729,0.93384,0.92855,0.96956,0.70928,0.93291,0.81384,0.92491,0.000366794,0.000366794,0.000366794
21,3400.92,0.89675,0.86466,0.90173,0.9421,0.91814,0.9729,0.75958,0.85077,0.7789,0.90783,0.000355152,0.000355152,0.000355152
22,3547.01,0.91761,0.84735,0.90334,0.95844,0.95084,0.97603,0.73005,0.92861,0.767,0.92818,0.00034351,0.00034351,0.00034351
23,3694.82,0.91637,0.83339,0.90392,0.96631,0.95828,0.97892,0.7757,0.82358,0.71718,0.8863,0.000331867,0.000331867,0.000331867
24,3841.13,0.91723,0.85904,0.9012,0.96956,0.9665,0.98153,0.76965,0.8389,0.68431,0.90187,0.000320225,0.000320225,0.000320225
25,3987.95,0.89954,0.78991,0.9127,0.95457,0.96668,0.97824,0.77757,0.79769,0.70505,0.88728,0.000308582,0.000308582,0.000308582
26,4134.77,0.87141,0.74988,0.89907,0.95251,0.96234,0.97918,0.76512,0.81616,0.7003,0.89149,0.00029694,0.00029694,0.00029694
27,4302.65,0.85962,0.75151,0.89627,0.97343,0.95915,0.98113,0.77732,0.795,0.67537,0.88392,0.000285298,0.000285298,0.000285298
28,4472.2,0.8142,0.73199,0.88825,0.94226,0.96779,0.97856,0.76444,0.80386,0.69933,0.89267,0.000273655,0.000273655,0.000273655
29,4622.03,0.83515,0.72337,0.87055,0.94324,0.98071,0.982,0.75122,0.84954,0.66236,0.90198,0.000262013,0.000262013,0.000262013
30,4774.25,0.82535,0.71365,0.88981,0.97433,0.95438,0.98062,0.78647,0.77683,0.66159,0.88547,0.00025037,0.00025037,0.00025037
31,4917.03,0.82744,0.71145,0.88275,0.97106,0.96496,0.98215,0.78082,0.79288,0.63114,0.88982,0.000238728,0.000238728,0.000238728
32,5055.82,0.82581,0.71844,0.88518,0.97523,0.97094,0.98265,0.78972,0.77279,0.62784,0.88266,0.000227086,0.000227086,0.000227086
33,5194.15,0.84248,0.72619,0.88857,0.98305,0.97526,0.98334,0.77533,0.80691,0.63438,0.8969,0.000215443,0.000215443,0.000215443
34,5332.24,0.84003,0.71448,0.89223,0.97374,0.97325,0.98246,0.78055,0.79678,0.6645,0.88367,0.000203801,0.000203801,0.000203801
35,5484.41,0.79594,0.70892,0.88096,0.9748,0.98013,0.98289,0.7686,0.8174,0.63584,0.89783,0.000192158,0.000192158,0.000192158
36,5633.37,0.84595,0.71077,0.89948,0.98037,0.97568,0.98366,0.77263,0.79771,0.61433,0.89442,0.000180516,0.000180516,0.000180516
37,5789.67,0.81993,0.67071,0.88155,0.97982,0.96474,0.98371,0.79259,0.77025,0.62082,0.88365,0.000168874,0.000168874,0.000168874
38,5940.87,0.80304,0.6699,0.88121,0.97296,0.96732,0.98481,0.76287,0.83113,0.64438,0.90131,0.000157231,0.000157231,0.000157231
39,6089.46,0.80218,0.67295,0.89165,0.97771,0.98691,0.98508,0.78966,0.76934,0.59995,0.88386,0.000145589,0.000145589,0.000145589
40,6227.99,0.8208,0.67136,0.88647,0.97442,0.98517,0.98446,0.78542,0.77734,0.6069,0.88749,0.000133946,0.000133946,0.000133946
41,6372.24,0.78007,0.74421,0.88687,0.97369,0.96406,0.98284,0.78028,0.80077,0.63209,0.89584,0.000122304,0.000122304,0.000122304
